,domestic,international,title,worldwide,year
0,936662225,1122000000,Star Wars Ep. VII: The Force Awakens,2058662225,2015
1,760507625,2023411357,Avatar,2783918982,2009
2,658672302,1548943366,Titanic,2207615668,1997
3,652198010,1018130015,Jurassic World,1670328025,2015
4,623279547,896200000,The Avengers,1519479547,2012
5,533345358,469546000,The Dark Knight,1002891358,2008
6,483597782,467000000,Finding Dory,950597782,2016
7,474544677,552500000,Star Wars Ep. I: The Phantom Menace,1027044677,1999
8,460998007,325600000,Star Wars Ep. IV: A New Hope,786598007,1977
9,459005868,945700000,Avengers: Age of Ultron,1404705868,2015
10,448139099,636300000,The Dark Knight Rises,1084439099,2012
11,441226247,495781885,Shrek 2,937008132,2004
12,435110554,357854772,ET: The Extra-Terrestrial,792965326,1982
13,424668047,440200000,The Hunger Games: Catching Fire,864868047,2013
14,423315812,642900000,Pirates of the Caribbean: Dead Man's Chest,1066215812,2006
15,422780140,564700000,The Lion King,987480140,1994
16,415004880,654813349,Toy Story 3,1069818229,2010
17,408992272,806400000,Iron Man 3,1215392272,2013
18,408063896,743600000,Captain America: Civil War,1151663896,2016
19,408010692,269912687,The Hunger Games,677923379,2012
20,403706375,418000000,Spider-Man,821706375,2002
21,402111870,434407829,Transformers: Revenge of the Fallen,836519699,2009
22,400738009,873496971,Frozen,1274234980,2013
23,395708305,643104279,Jurassic Park,1038812584,1993
24,381011219,960500000,Harry Potter and the Deathly Hallows: Part II,1341511219,2011
25,380529370,555900000,Finding Nemo,936429370,2003
26,380270577,468728300,Star Wars Ep. III: Revenge of the Sith,848998877,2005
27,377845905,763562762,The Lord of the Rings: The Return of the King,1141408667,2003
28,373524485,410180516,Spider-Man 2,783705001,2004
29,370782930,251637737,The Passion of the Christ,622420667,2004
30,368065385,606808379,Despicable Me 2,974873764,2013
31,363940561,599900000,The Jungle Book,963840561,2016
32,363070709,420700000,Deadpool,783770709,2016
33,362020120,429441164,The Secret Life of Pets,791461284,2016
34,356461711,497461374,Inside Out,853923085,2015
35,352390543,771400000,Transformers: Dark of the Moon,1123790543,2011
36,351032910,1162986161,Furious 7,1514019071,2015
37,350126372,197200000,American Sniper,547326372,2014
